type,description
Fighting,"['Metal', 'Colorless'],Mirror Shot,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',30"
Fighting,"['Metal', 'Colorless', 'Colorless'],Everyone Explode Now,'Does 30 damage times the number of Pineco and Forretress you have in play. This attack does 30 damage to each of your Pineco and Forretress in play.',30\u00d7"
Psychic,"['Psychic', 'Psychic', 'Psychic'],Cell Storm,'Discard 2 Psychic Energy attached to Deoxys and remove 6 damage counters from Deoxys.',60"
Grass,"['Colorless'],Beat,'',10"
Grass,"['Colorless', 'Colorless', 'Colorless'],Reckless Charge,'This Pok\u00e9mon does 10 damage to itself.',40"
Fighting,"['Colorless', 'Colorless'],Bonemerang,'Flip 2 coins. This attack does 60 damage times the number of heads.',60\u00d7"
Fighting,"['Fighting', 'Fighting'],Bone Impact,'If there is any Stadium card in play, this attack does 20 damage plus 60 more damage. Discard that Stadium card.',20+"
Psychic,"['Psychic'],Solar Suggestion,'Move up to 4 damage counters from any of your Pok\u00e9mon to any of your opponent's Pok\u00e9mon in any way you like.',"
Psychic,"['Psychic', 'Colorless'],Psybeam,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',30"
Fighting,"['Fighting'],Dig,'',10"
Fighting,"['Fighting', 'Fighting'],Mud Slap,'',30"
Psychic,"['Colorless'],Pound,'',10"
Psychic,"['Psychic', 'Psychic'],Confuse Ray,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',10"
Grass,"['Grass', 'Grass'],Foul Gas,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned; if tails, it is now Confused.',10"
Fire,"['Colorless'],Sand-Attack,'If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.',20"
Fire,"['Fire', 'Colorless', 'Colorless'],Fire Slash,'You may discard a Fire Energy attached to this Pok\u00e9mon. If you do, this attack does 30 more damage.',60+"
Water,"['Water'],Spacial Rend,'Search your deck for a Stadium card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. If there is any Stadium card in play, discard it.',10"
Water,"['Water', 'Water', 'Colorless'],Transback,'You may flip a coin. If heads, discard all Energy attached to Palkia and put the Defending Pok\u00e9mon and all cards attached to it on top of your opponent's deck. Your opponent shuffles his or her deck afterward.',40"
Colorless,"['Colorless', 'Colorless'],Ambush,'Flip a coin. If heads, this attack does 20 damage plus 20 more damage.',20+"
Fighting,"['Fighting', 'Fighting', 'Fighting', 'Fighting'],Volcano Stomp,'Flip a coin. If heads, discard the top 4 cards of your opponent's deck. If tails, discard the top 4 cards of your deck.',80"
Fire,"['Fire', 'Colorless'],Blaze Kick,'Flip a coin. If heads, this attack does 30 more damage. If tails, the Defending Pok\u00e9mon is now Burned.',40+"
Fire,"['Fire', 'Fire', 'Colorless'],Flamethrower,'Discard an Energy attached to this Pok\u00e9mon.',130"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Rock Wrecker,'This attack's damage isn't affected by Weakness or Resistance. Rhyperior can't attack during your next turn.',80"
Psychic,"['Psychic'],Psybeam,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',10"
Psychic,"['Colorless', 'Colorless'],Spinning Attack,'',20"
Fighting,"['Fighting'],Ninja Fang,'If, before Gliscor does damage, the Defending Pok\u00e9mon has no damage counters on it and is then damaged by this attack (after applying Weakness and Resistance), the Defending Pok\u00e9mon is now Paralyzed.',30"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Poison Jab,'The Defending Pok\u00e9mon is now Poisoned.',50"
Psychic,"['Psychic'],Psychic Removal,'Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pok\u00e9mon.',20"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Powerful Hand,'Count the number of cards in your hand. Put that many damage counters on the Defending Pok\u00e9mon. You can't put more than 7 damage counters in this way.',"
Grass,"['Colorless'],Feint Attack,'Choose 1 of your opponent's Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. This attack's damage isn't affected by Weakness, Resistance, Pok\u00e9-Powers, Pok\u00e9-Bodies, or any other effects on that Pok\u00e9mon.',"
Colorless,"['Colorless', 'Colorless'],Blessed Wings,'Remove all damage counters from each of your Pok\u00e9mon. Shuffle Togekiss and all cards attached to it back into your deck.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Air Cutter,'Flip a coin. If tails, this attack does nothing.',80"
Grass,"['Grass', 'Grass'],Poison Sting,'The Defending Pok\u00e9mon is now Poisoned.',30"
Grass,"['Grass', 'Grass', 'Colorless'],Spike Whip,'If Budew is anywhere under Roserade, choose 1 of your opponent's Benched Pok\u00e9mon. This attack does 30 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',50"
Psychic,"['Darkness', 'Darkness'],Frustration,'Choose 1 of your opponent's Pok\u00e9mon that doesn't have any damage counters on it. This attack does 30 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Psychic,"['Darkness', 'Darkness', 'Colorless'],Toxic Cloud,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pok\u00e9mon between turns.',30"
Psychic,"['Colorless'],Extra Curse,'Put 2 damage counters on the Defending Pok\u00e9mon. If the Defending Pok\u00e9mon is Pok\u00e9mon-ex, put 4 damage counters instead.',"
Colorless,"['Colorless', 'Colorless'],Incessant Peck,'Flip a coin until you get tails. This attack does 20 damage plus 20 more damage for each heads.',20+"
Colorless,"['Colorless'],Accelerative Dive,'Flip a coin. If tails, this attack does nothing. If heads, prevent all damage done to Staraptor by attacks (both yours and your opponent's) until the end of your next turn.',30"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Brave Heart,'Flip a coin. If tails, Staraptor does 100 damage to itself.',100"
Psychic,"['Colorless'],Transfer Pain,'Move 1 damage counter from 1 of your Pok\u00e9mon to 1 of your opponent's Pok\u00e9mon.',"
Colorless,"['Colorless', 'Colorless'],Amnesia,'Choose 1 of the Defending Pok\u00e9mon's attacks. That Pok\u00e9mon can't use that attack during your opponent's next turn.',20"
Colorless,"['Colorless', 'Colorless', 'Colorless', 'Colorless'],Lazy Headbutt,'Slaking is now Asleep.',70"
Grass,"['Grass'],Absorb,'Heal 10 damage from this Pok\u00e9mon.',10"
Psychic,"['Psychic', 'Colorless'],Balloon Tackle,'Drifblim does 20 damage to itself.',60"
Psychic,"['Colorless', 'Colorless', 'Colorless'],Take Away,'Shuffle Drifblim and all cards attached to it back into your deck. Then, your opponent shuffles the Defending Pok\u00e9mon and all cards attached to it into his or her deck. (You choose your new Active Pok\u00e9mon first.)',"
Psychic,"['Colorless', 'Colorless', 'Colorless'],Power Lariat,'This attack does 50 more damage for each Evolution Pok\u00e9mon on your Bench.',10+"
Colorless,"['Colorless'],Rest,'Remove all Special Conditions and 4 damage counters from Bibarel. Bibarel is now Asleep.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Take Down,'Bibarel does 10 damage to itself.',60"
Lightning,"['Colorless', 'Colorless'],Tackle,'',20"
Lightning,"['Lightning', 'Colorless'],Magnetism,'Does 10 damage plus 10 more damage for each Magnemite, Magneton, and Dark Magneton on your Bench.',10+"
Water,"['Water'],Healing Pirouette,'Heal 30 damage from each of your Pok\u00e9mon.',"
Water,"['Water', 'Water', 'Colorless'],Incessant Peck,'Flip a coin until you get tails. This attack does 20 more damage for each heads.',60+"
Lightning,"['Colorless'],Electrigun,'You may discard a Lightning Energy attached to this Pok\u00e9mon. If you do, this attack does 40 more damage.',20+"
Lightning,"['Lightning', 'Colorless', 'Colorless'],Pin Missile,'Flip 4 coins. This attack does 40 damage times the number of heads.',40\u00d7"
Fighting,"['Metal'],Righteous Edge,'Discard a Special Energy attached to the Defending Pok\u00e9mon.',30"
Fighting,"['Metal', 'Metal', 'Colorless'],Steel Bullet,'This attack's damage isn't affected by Weakness, Resistance, or any other effects on the Defending Pok\u00e9mon.',100"
Water,"['Colorless', 'Colorless'],Guard Press,'During your opponent's next turn, any damage done to this Pok\u00e9mon by attacks is reduced by 20 (after applying Weakness and Resistance).',20"
Water,"['Fire', 'Fire', 'Water', 'Colorless'],Dragon Claw,'',90"
Psychic,"['Colorless', 'Colorless'],Stomp,'Flip a coin. If heads, this attack does 20 damage plus 20 more damage.',20+"
Psychic,"['Psychic', 'Psychic', 'Colorless'],Poison Claws,'The Defending Pok\u00e9mon is now Poisoned.',50"
Lightning,"['Lightning'],Positive Ion,'Flip a coin. If heads, this attack does 10 damage plus 10 more damage.',10+"
Lightning,"['Colorless', 'Colorless'],Negative Ion,'During your opponent's next turn, any damage done by attacks from the Defending Pok\u00e9mon is reduced by 10 (before applying Weakness and Resistance).',10"
Lightning,"['Lightning', 'Colorless'],Thunder Fang,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',30"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Volt Bolt,'Discard all Lightning Energy attached to this Pok\u00e9mon. This attack does 100 damage to 1 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Lightning,"['Colorless'],Headbutt,'',20"
Lightning,"['Lightning', 'Lightning', 'Colorless'],Shock Bolt,'Discard all Lightning Energy attached to this Pok\u00e9mon.',80"
Grass,"['Grass', 'Colorless'],Stun Spore,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.',30"
Grass,"['Grass', 'Grass', 'Colorless', 'Colorless'],Toxic Dust,'The Defending Pok\u00e9mon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pok\u00e9mon between turns.',50"
Water,"['Colorless', 'Colorless', 'Colorless'],Slash,'',60"
Water,"['Water', 'Water', 'Lightning', 'Colorless'],Black Ballista,'Discard 3 Energy attached to this Pok\u00e9mon.',200"
Water,"['Colorless', 'Colorless', 'Colorless'],Slash,'',60"
Water,"['Fire', 'Fire', 'Water', 'Colorless'],White Inferno,'Does 10 more damage for each damage counter on this Pok\u00e9mon.',100+"
Grass,"['Colorless'],Miasma Wind,'Does 50 damage times the number of Special Conditions affecting the Defending Pok\u00e9mon.',50\u00d7"
Grass,"['Grass'],Soothing Scent,'The Defending Pok\u00e9mon is now Asleep.',30"
Psychic,"['Colorless', 'Colorless'],Chuck,'Discard as many Pok\u00e9mon Tool cards as you like from your hand. This attack does 40 damage times the number of cards you discarded.',40\u00d7"
Psychic,"['Psychic', 'Psychic'],Lock Up,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',40"
Lightning,"['Colorless'],Ram,'',10"
Lightning,"['Lightning', 'Colorless'],Spark,'Does 10 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',20"
Fighting,"['Metal'],Spike Spread,'This attack does 10 damage to each of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Fighting,"['Metal', 'Colorless'],Gyro Ball,'You may switch Forretress with 1 of your Benched Pok\u00e9mon. If you do, your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',30"
Water,"['Water'],Influence,'Search your deck for Omanyte, Kabuto, Aerodactyl, Lileep, or Anorith and put up to 2 of them onto your Bench. Shuffle your deck afterward. Treat the new Benched Pok\u00e9mon as Basic Pok\u00e9mon.',"
Water,"['Colorless', 'Colorless'],Mud Shot,'',20"
Water,"['Water', 'Colorless'],Screw Tail,'Flip a coin. If heads, discard an Energy attached to the Defending Pok\u00e9mon.',30"
Water,"['Water', 'Water'],Water Gun,'Does 40 damage plus 20 more damage for each Water Energy attached to Floatzel but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.',40+"
Psychic,"['Darkness'],Double Kick,'Flip 2 coins. This attack does 10 damage times the number of heads.',10\u00d7"
Psychic,"['Colorless'],Peck,'',10"
Psychic,"['Psychic', 'Colorless'],Horn Attack,'',20"
Psychic,"['Colorless'],Peck,'',20"
Psychic,"['Psychic', 'Colorless', 'Colorless'],Horn Drill,'',60"
Psychic,"['Colorless', 'Colorless'],Mud-Slap,'',30"
Psychic,"['Darkness', 'Darkness', 'Colorless', 'Colorless'],Corkscrew Punch,'',70"
Fighting,"['Fighting', 'Colorless', 'Colorless'],Hammer In,'',60"
Fighting,"['Fighting', 'Fighting', 'Colorless', 'Colorless'],Backward Belt Throw,'You may do 80 damage plus 20 more damage. If you do, Hariyama does 20 damage to itself.',80+"
Psychic,"['Colorless', 'Colorless'],Whirlwind,'Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',20"
Psychic,"['Darkness', 'Darkness'],Blindside,'Choose 1 of your opponent's Pok\u00e9mon that has any damage counters on it. This attack does 50 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Psychic,"['Darkness', 'Colorless'],Shadow Bind,'The Defending Pok\u00e9mon can't retreat during your opponent's next turn.',30"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Vengeance,'Does 10 damage plus 10 more damage for each Darkness Pok\u00e9mon in your discard pile.',10+"
Grass,"['Colorless'],Nap,'Remove 2 damage counters from Seedot.',"
Grass,"['Grass', 'Colorless'],Double Spin,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Grass,"['Colorless'],Pitch,'Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.',10"
Grass,"['Grass', 'Grass'],Horn Slash,'Flip a coin. If heads, this attack does 30 damage plus 30 more damage.',30+"
Fire,"['Fire', 'Colorless', 'Colorless'],Hard Crush,'Discard the top 3 cards from your deck. This attack does 50 damage times the number of Energy cards you discarded.',50\u00d7"
Fire,"['Fire', 'Fire', 'Colorless', 'Colorless'],Mantle Bazooka,'Discard 2 Fire Energy attached to Magmortar.',100"
Colorless,"['Colorless'],Amnesia,'Choose 1 of the Defending Pok\u00e9mon's attacks. That Pok\u00e9mon can't use that attack during your opponent's next turn.',"
Colorless,"['Colorless'],Scratch,'',10"
Colorless,"['Colorless'],Healing Wish,'Flip a coin until you get tails. Remove a number of damage counters equal to the number of heads from 1 of your Pok\u00e9mon.',"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Flop,'Does 20 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) You may switch Lopunny with 1 of your Benched Pok\u00e9mon.',30"
Grass,"['Grass', 'Colorless', 'Colorless'],Solar Beam,'',80"
Water,"['Colorless'],Pebble Throw,'Choose 1 of your opponent's Benched Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)',"
Water,"['Water', 'Colorless'],Double Headbutt,'Flip 2 coins. This attack does 20 damage times the number of heads.',20\u00d7"
Fighting,"['Colorless'],Spearhead,'Draw a card.',"
Fighting,"['Colorless', 'Colorless'],Heavy Metal,'Flip a coin for each Metal Energy attached to Skarmory. This attack does 10 damage plus 20 more damage for each heads.',10+"
Water,"['Colorless'],Defense Curl,'Flip a coin. If heads, prevent all damage done to Spheal during your opponent's next turn.',"
Water,"['Water', 'Colorless'],Aurora Beam,'',20"
Fighting,"['Metal'],Steel Coat,'Search your deck for a Metal Energy card and attach it to 1 of your Pok\u00e9mon. Shuffle your deck afterward.',"
Fighting,"['Metal', 'Colorless', 'Colorless'],Razor Wing,'',40"
Fighting,"['Fighting'],Revenge,'If any of your Pok\u00e9mon were Knocked Out by damage from an opponent's attack during his or her last turn, this attack does 20 damage plus 50 more damage.',20+"
Fighting,"['Fighting', 'Fighting', 'Fighting'],Dynamic Punch,'Flip a coin. If heads, this attack does 60 damage plus 30 more damage and the Defending Pok\u00e9mon is now Confused.',60+"
Fire,"['Fire'],Peck,'',10"
Fire,"['Fire', 'Colorless'],Live Coal,'',20"
Psychic,"['Darkness'],Ascension,'Search your deck for a card that evolves from this Pok\u00e9mon and put it onto this Pok\u00e9mon. (This counts as evolving this Pok\u00e9mon.) Shuffle your deck afterward.',"
Psychic,"['Colorless', 'Colorless'],Scratch,'',20"
Fighting,"['Colorless'],Surprise Attack,'Flip a coin. If tails, this attack does nothing.',20"
Fighting,"['Fighting'],Force Palm,'Count the number of damage counters on Medicham. Put that many damage counters on 1 of your opponent's Pok\u00e9mon.',"
Fighting,"['Fighting', 'Fighting', 'Colorless'],Spinning Kick,'Medicham does 20 damage to itself.',80"
Fire,"['Colorless'],Confuse Ray,'Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.',"
Fire,"['Fire', 'Colorless'],Ember,'Discard a Fire Energy attached to Vulpix.',30"
Colorless,"['Fire', 'Fire', 'Lightning', 'Lightning'],Inferno Spear,'Discard a Fire Energy and a Lightning Energy attached to Rayquaza.',100"
Water,"['Colorless', 'Colorless'],Blot,'Remove 2 damage counters from Lombre.',20"
Psychic,"['Darkness', 'Colorless'],Slash,'',30"
Psychic,"['Darkness', 'Colorless', 'Colorless'],Fury Cutter,'Flip 3 coins. If 1 of them is heads, this attack does 10 more damage. If 2 of them are heads, this attack does 30 more damage. If all of them are heads, this attack does 60 more damage.',30+"
Colorless,"['Colorless'],Heave,'Discard 2 cards from your hand. (If you can't discard 2 cards, this attack does nothing.) Flip 2 coins. This attack does 30 damage times the number of heads.',30\u00d7"
Fighting,"['Colorless'],Swagger,'Flip a coin. If heads, discard an Energy attached to your opponent's Active Pok\u00e9mon.',20"
Fighting,"['Fighting', 'Fighting'],Spirited Throw,'If, before doing damage, your opponent's Active Pok\u00e9mon has more remaining HP than this Pok\u00e9mon, this attack does 60 more damage.',30+"
Fighting,"['Colorless', 'Colorless'],Charge Beam,'Flip a coin. If heads, attach an Energy card from your discard pile to this Pok\u00e9mon.',20"
Fighting,"['Metal', 'Colorless', 'Colorless'],Vice Grip,'',50"
Water,"['Water'],Energy Flip,'Choose 1 of your opponent's Benched Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) You may move an Energy attached to that Pok\u00e9mon to another of your opponent's Pok\u00e9mon.',"
Water,"['Psychic'],Psychic Boom,'Does 10 damage plus 10 more damage for each Energy attached to the Defending Pok\u00e9mon.',10+"
Colorless,"['Colorless', 'Colorless'],Gust,'',20"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Twister,'Flip 2 coins. If both of them are tails, this attack does nothing. For each heads, discard an Energy attached to the Defending Pok\u00e9mon.',30"
Colorless,"['Colorless', 'Colorless'],Scratch,'',30"
Fighting,"['Colorless'],Metal Blast,'Does 20 more damage for each Metal Energy attached to this Pok\u00e9mon.',20+"
Fighting,"['Metal', 'Metal', 'Colorless', 'Colorless'],Lock Gear,'Draw cards until you have 6 cards in your hand.',60"
Colorless,"['Colorless', 'Colorless'],Blow Through,'If there is any Stadium card in play, this attack does 30 more damage.',30+"
Colorless,"['Colorless', 'Colorless', 'Colorless'],Power Blast,'Flip a coin. If tails, discard an Energy attached to this Pok\u00e9mon.',100"
Lightning,"['Lightning', 'Lightning', 'Lightning'],Plasma Slice,'This Pok\u00e9mon can't attack during your next turn.',120"
