type,name
Colorless, Azurill
Psychic, Metagross
Psychic, Arbok
Psychic, Trevenant
Fighting, Lunatone
Colorless, Buneary
Psychic, Unown
Psychic, Krokorok
Grass, Shaymin
Fire, Chimchar
Grass, Sewaddle
Water, Suicune
Psychic, Trubbish
Psychic, Unown
Psychic, Krookodile
Water, Blastoise
Fighting, Machop
Psychic, Unown
Psychic, Inkay
Water, Piplup
Fire, Torchic
Water, Altaria ex δ
Colorless, Porygon2
Psychic, Malamar
Colorless, Fearow
Psychic, Yveltal
Colorless, Starly
Water, Floatzel
Water, Brionne
Psychic, Yveltal-EX
Grass, Yanmega
Lightning, Magnemite
Psychic, Unown
Lightning, Magnemite
Lightning, Magneton
Fighting, Bisharp
Psychic, Zubat
Psychic, Unown
Colorless, Wigglytuff
Water, Kingdra
Grass, Tangela
Colorless, Exploud
Psychic, Unown
Fighting, Primeape
Colorless, Mr. Mime
Colorless, Aromatisse
Lightning, Manectric
Fire, Slugma
Fighting, Meditite
Water, Marill
Colorless, Xerneas
Colorless, Clefable
Colorless, Tauros
Psychic, Ralts
Grass, Dragonite ex δ
Water, Wooper
Water, Relicanth
Fighting, Team Magma's Lairon
Colorless, Swellow
Colorless, Delcatty
Water, Mareanie
Colorless, Cool Porygon
Fighting, Machoke
Water, Salamence ex δ
Colorless, Skitty
Colorless, Swablu
Grass, Venusaur-EX
Grass, Breloom
Lightning, Magnemite
Colorless, Patrat
Colorless, Dodrio
Water, Team Aqua's Walrein
Lightning, Tyranitar ex δ
Lightning, Emolga-EX
Fire, Magmar
Colorless, Togetic
Colorless, Exploud
Grass, Grovyle
Grass, Roserade
Psychic, Yveltal-EX
Psychic, Grumpig
Fighting, Hariyama
Colorless, Xerneas-EX
Psychic, Charizard Star δ
Colorless, Ursaring
Fighting, Machop
Water, Garchomp-EX
Colorless, Linoone
Grass, Cacnea
Fire, Charizard
Lightning, Lanturn
Water, Dratini
Grass, Grotle
Lightning, Plusle
Psychic, Team Aqua's Carvanha
Fighting, Hitmonchan
Colorless, Taillow
Colorless, Whismur
Lightning, Feraligatr δ
Grass, Serperior
Grass, Pansage
Grass, Petilil
Fire, Tepig
Fighting, Cubone
Water, Squirtle
Water, Bruxish
Lightning, Electabuzz
Water, Fraxure
Fighting, Team Magma's Rhyhorn
Lightning, Luxray
Colorless, Tauros
Water, Simipour
Water, Basculin
Grass, Mothim
Fighting, Lucario
Lightning, Joltik
Fighting, Rhyhorn
Fire, Camerupt ex
Fighting, Meganium δ
Grass, Yanmega
Water, Milotic ex
Water, Kyogre
Fire, Torkoal
Fire, Milotic δ
Psychic, Mr. Mime-GX
Psychic, Nidoran♀
Psychic, Zorua
Colorless, Patrat
Colorless, Patrat
Water, Crawdaunt
Fire, Ponyta
Fighting, Pinsir δ
Psychic, Jynx
Psychic, Girafarig
Fighting, Nosepass
Colorless, Porygon
Psychic, Cosmog
Psychic, Skorupi
Lightning, Mantine δ
Fighting, Meditite
Grass, Ninjask
Water, Azumarill
Fighting, Tropius δ
Water, Wartortle
Fighting, Onix
Colorless, Salamence
Fighting, Aerodactyl-EX
Psychic, Xatu δ
Fighting, Regirock ex
Grass, Grovyle
Fire, Kirlia δ
Psychic, Mewtwo
Psychic, Nidorino δ
Fire, Swellow δ
Colorless, Swablu
Grass, Grubbin
Fighting, Trapinch
Fighting, Registeel ex
Water, Buizel
Fighting, Chikorita δ
Colorless, Salamence
Grass, Dratini δ
Water, Keldeo
Colorless, Farfetch'd
Fighting, Elekid δ
Psychic, Nidoran♂ δ
Colorless, Seel δ
Grass, Wooper δ
Grass, Butterfree
Grass, Celebi
Psychic, Cosmoem
Lightning, Pikachu
Fighting, Mankey
Fire, Combusken
Lightning, Flaaffy
Grass, Bayleef
Fighting, Drilbur
Psychic, Swalot
Psychic, Azelf
Fighting, Graveler
Water, Glalie
Lightning, Raichu
Psychic, Exeggutor
Psychic, Hoopa
Water, Dark Gyarados
Water, Horsea
Fire, Gardevoir ex δ
Colorless, Regigigas
Water, Buizel
Water, Seadra
Fighting, Primeape
Grass, Grovyle
Water, Latios ex δ
Fighting, Marowak
Fire, Houndour
Grass, Petilil
Lightning, Rayquaza ex δ
Water, Mew Star δ
Lightning, Electrode
Water, Snorunt
Fighting, Nidoking
Colorless, Vibrava
Fighting, Machamp
Grass, Ledyba
Fighting, Nidoqueen
Fighting, Hitmonlee
Fighting, Hitmonchan
Water, Corphish
Water, Dragonair
Water, Horsea
Fighting, Probopass
Fighting, Omanyte
Fighting, Omastar
Water, Barboach
Psychic, Houndour
Fighting, Kabuto
Water, Shelgon
Grass, Bulbasaur
Fighting, Excadrill
Water, M Garchomp-EX
Water, Magikarp
Water, Poliwrath
Fighting, Golem
Grass, Nincada
Lightning, Magnezone
Lightning, Raichu
Colorless, Meowth
Fighting, Hariyama
Grass, Yanmega
Fire, Numel
Psychic, Slowpoke
Water, Squirtle
Fire, Numel
Water, Seel
Water, Omastar
Water, Crawdaunt
Fighting, Kabutops
Fighting, Larvitar
Grass, Beedrill
Grass, Simisage
Fire, Slugma
Colorless, Swablu
Grass, Roselia
Fighting, Pupitar
Fighting, Pancham
Colorless, Salamence
Colorless, Marill
Grass, Carnivine
Colorless, Dragonair
Fire, Reshiram
Colorless, Snorlax
Grass, Victreebel
Grass, Cherubi
Fighting, Larvitar
Water, Psyduck
Fire, Vulpix
Colorless, Flygon
Water, Poliwhirl
Fighting, Pupitar
Fire, Magmar
Psychic, Natu
Water, Golduck
Psychic, Unown T
Colorless, Chansey
Grass, Heracross
Fighting, Onix
Colorless, Vigoroth
Grass, Snivy
Grass, Skiploom
Grass, Nincada
Grass, Roselia
Psychic, Abra
Grass, Dwebble
Colorless, Bidoof
Grass, Serperior
Water, Blastoise-EX
Fighting, Dugtrio
Fire, Camerupt
Grass, Roselia
Fire, Tepig
Colorless, Bagon
Colorless, Delcatty
Fire, Ho-Oh-EX
Water, Buizel
Colorless, Fearow
Lightning, Manectric
Water, Magikarp
Water, Gyarados
Water, Oshawott
Water, Frillish
Water, Wailord
Grass, Chikorita
Fire, Ninetales
Psychic, Croagunk
Water, Milotic
Psychic, Croagunk
Water, Kingler
Water, Cryogonal
Fire, Braixen
Fire, Reshiram
Water, Spheal
Fire, Emboar
Water, Magikarp
Fire, Cyndaquil
Water, Floatzel
Water, Phione
Water, Jellicent
Water, Oshawott
Water, Samurott
Lightning, Electrike
Fighting, Larvitar
Lightning, Pikachu
Water, Tympole
Water, Seadra
Fighting, Onix
Fire, Charmeleon
Water, Poliwag
Water, Light Dewgong
Colorless, Vibrava
Psychic, Phantump
Lightning, Pichu
Psychic, Haunter
Psychic, Gothorita
Grass, Ivysaur
Water, Palpitoad
Lightning, Mareep
Psychic, Solosis
Lightning, Shinx
Water, Spheal
Psychic, Gourgeist
Colorless, Spearow
Colorless, Raticate
Colorless, Slakoth
Fire, Moltres
Water, Snorunt
Colorless, Teddiursa
Grass, Turtwig
Lightning, Zebstrika
Water, Slowbro
Water, Swanna
Water, Palpitoad
Fighting, Rhyperior
Lightning, Ampharos
Psychic, Sigilyph
Water, Poliwhirl
Psychic, Sandile
Psychic, Spoink
Lightning, Electrike
Psychic, Drifloon
Fire, Vulpix
Colorless, Porygon
Fire, Ho-Oh ex
Fighting, Aegislash
Grass, Sceptile
Psychic, Drifblim
Fighting, Bastiodon GL
Water, Froakie
Psychic, Trubbish
Psychic, Zubat
Psychic, Gothorita
Fire, Pansear
Fire, Fennekin
Grass, Wurmple
Fire, Flareon δ
Grass, Hoppip
Water, Piplup
Fighting, Cubone
Fighting, Marowak
Fighting, Boldore
Grass, Yanmega
Psychic, Haunter
Psychic, Crobat
Colorless, Staravia
Grass, Cascoon
Psychic, Gengar
Fighting, Gigalith
Grass, Beedrill
Lightning, Lanturn
Fighting, Throh
Fire, Entei & Raikou LEGEND
Psychic, Cresselia
Fire, Entei & Raikou LEGEND
Lightning, Raikou & Suicune LEGEND
Water, Palkia
Grass, Roserade GL
Psychic, Unown H
Fighting, Dialga
Grass, Shelmet
Water, Delibird
Grass, Maractus
Fighting, Meloetta
Fighting, Sawk
Colorless, Snubbull
Fire, Magmar
Fighting, Stunfisk
Psychic, Inkay
Psychic, Honchkrow
Water, Seismitoad
Psychic, Gothita
Psychic, Skuntank
Fighting, Aggron
Fighting, Registeel-EX
Lightning, Raikou & Suicune LEGEND
Water, Axew
Lightning, Manectric
Water, Suicune & Entei LEGEND
Colorless, Clefable
Psychic, Dustox
Psychic, Gothitelle
Fighting, Durant
Psychic, Golurk
Lightning, Electrode
Colorless, Swablu
Fighting, Claydol
Water, Altaria
Water, Gabite
Colorless, Staravia
Water, Zweilous
Psychic, Murkrow
Colorless, Swablu
Water, Seaking
Fire, Mewtwo δ
Fighting, Sandslash
Colorless, Audino
Colorless, Braviary
Fire, Flareon
Fighting, Honedge
Fighting, Lairon
Grass, Snivy
Water, Mamoswine GL
Fighting, Makuhita
Lightning, Light Lanturn
Colorless, Xerneas-EX
Colorless, Shelgon
Fighting, Probopass
Psychic, Krookodile
Colorless, Dunsparce
Colorless, Bibarel
Colorless, Diggersby
Colorless, Bagon
Water, Rayquaza-EX
Water, Garchomp
Fighting, Sandslash
Colorless, Buneary
Grass, Burmy Trash Cloak
Water, Giratina-EX
Water, Hydreigon
Psychic, Vullaby
Fire, Charmander
Psychic, Gardevoir
Water, Kyogre
Water, Magikarp
Fighting, Klink
Fighting, Skarmory
Psychic, Unown [X]
Grass, Nidoran♀
Colorless, Bibarel
Grass, Paras
Psychic, Gastly
Lightning, Manectric
Lightning, Holon's Electrode
Water, Pelipper
Fighting, Geodude
Colorless, Rattata
Colorless, Bouffalant
Water, Black Kyurem
Grass, Cacnea
Fire, Ho-Oh-EX
Grass, Seviper
Psychic, Duskull
Water, Starmie δ
Psychic, Mew-EX
Psychic, Gulpin
Fighting, Registeel-EX
Psychic, Natu
Colorless, Slakoth
Colorless, Gible
Grass, Paras
Water, Marshtomp
Lightning, Minun
Psychic, Grumpig
Psychic, Dark Exeggutor
Lightning, Pikachu
Colorless, Meowth
Colorless, Ditto
Colorless, Meowth
Grass, Volbeat
Psychic, Gengar
Colorless, Kangaskhan
Water, Mudkip
Lightning, Pichu
Grass, Weedle
Fire, Ponyta
Water, Dark Omanyte
Colorless, Dunsparce
Fighting, Rhyhorn
Grass, Shroomish
Fighting, Hitmonlee
Water, Snorunt
Psychic, Munna
Grass, Deerling
Psychic, Spoink
Psychic, Spoink
Water, Jynx
Grass, Nidoqueen
Psychic, Light Slowbro
Grass, Illumise
Colorless, Rattata
Fire, Torchic
Lightning, Shinx
Grass, Kakuna
Fire, Charizard
Water, Goldeen
Fighting, Nosepass
Colorless, Lopunny
Water, Golduck
Fighting, Sandslash
Water, Blastoise ex
Lightning, Joltik
Grass, Treecko
Fire, Pupitar δ
Water, Snorunt
Fire, Ditto
Colorless, Zigzagoon
Grass, Simisage
Fighting, Rhydon
Colorless, Eevee
Water, Vaporeon
Fighting, Drilbur
Grass, Venomoth
Colorless, Dodrio
Water, Marill
Psychic, Unown [P]
Water, Krabby
Grass, Tangela
Grass, Venonat
Grass, Cacturne ex
Colorless, Meowth
Grass, Treecko
Psychic, M Tyranitar-EX
Grass, Victreebel
Grass, Seedot
Psychic, Gengar ex
Colorless, Rufflet
Psychic, Unown [Q]
Psychic, Unown [Z]
Fire, Cyndaquil
Water, Wingull
Grass, Nuzleaf
Grass, Shiftry
Psychic, Gastly
Grass, Pineco
Water, Luvdisc
Fighting, Gligar
Fighting, Larvitar
Fire, Ponyta
Fire, M Charizard-EX
Colorless, Lugia-EX
Fire, Pyroar
Colorless, Clefable
Fighting, Binacle
Psychic, Duskull
Psychic, Dusclops
Colorless, Aipom
Lightning, Electrode
Fire, Charmander
Fighting, Metang
Colorless, Kangaskhan
Water, Seel
Water, Swinub
Grass, Petilil
Psychic, Skrelp
Psychic, Mr. Mime
Lightning, Joltik
Water, Feebas
Colorless, Snorlax
Water, Wingull
Fire, Numel
Colorless, Flabébé
Fire, Moltres ex
Grass, Simisage
Grass, Swadloon
Lightning, Voltorb
Fire, Ekans δ
Lightning, Zapdos ex
Grass, Alolan Exeggutor
Psychic, Misdreavus
Colorless, Skitty
Grass, Leavanny
Colorless, Sentret
Colorless, Watchog
Grass, Vileplume
Psychic, Woobat
Grass, Butterfree
Grass, Leavanny
Grass, Cottonee
Grass, Shroomish
Grass, Exeggutor
Psychic, Scraggy
Colorless, Fearow
Grass, Petilil
Fighting, Marowak
Fighting, Primeape
Colorless, Persian
Psychic, Murkrow
Water, Clauncher
Psychic, Gothorita
Colorless, Whimsicott
Fire, Darumaka
Psychic, Skorupi
Fighting, Hitmontop
Fighting, Rhydon
Water, Smoochum
Fire, Numel
Colorless, Bouffalant
Colorless, Braviary
Colorless, Arceus
Fire, Arcanine
Water, M Blastoise-EX
Fighting, M Lucario-EX
Fighting, Mienfoo
Grass, Roselia
Fire, Darmanitan
Colorless, Chatot
Water, Starmie BREAK
Psychic, Mew
Fighting, Makuhita
Water, Panpour
Water, Simipour
Colorless, Tauros
Fighting, Hitmontop
Colorless, Stantler
Water, Kyogre-EX
Grass, Pansage
Water, Basculin
Fighting, Cubone
Grass, Sewaddle
Fire, Simisear
Fire, Victini
Colorless, Eevee
Water, Vanilluxe
Water, Goldeen
Psychic, Team Aqua's Seviper
Colorless, Arceus
Colorless, Jigglypuff
Psychic, Yamask
Colorless, Audino
Fighting, Mankey
Colorless, Team Magma's Zangoose
Psychic, Poipole
Psychic, Reuniclus
Water, Swanna
Fighting, Mienfoo
Psychic, Darkrai & Cresselia LEGEND
Psychic, Tyranitar-EX
Colorless, Meowth
Psychic, Gengar
Grass, Zubat
Grass, Whimsicott
Fire, Arceus
Grass, Nidoran♀
Colorless, Salamence
Colorless, Eevee
Lightning, Surfing Pikachu
Fighting, Sandslash
Psychic, Houndour
Grass, Tangrowth
Water, Basculin
Colorless, Meowth
Grass, Oddish
Grass, Arceus
Fighting, Torterra
Psychic, Mewtwo
Fighting, Pupitar
Grass, Exeggutor
Colorless, Arceus
Grass, Weedle
Grass, Pansage
Grass, Cradily
Grass, Scyther
Grass, Wurmple
Psychic, Exeggcute
Fire, Pansear
Fighting, Arceus
Fire, Arcanine
Fire, Fennekin
Psychic, Xatu
Grass, Cascoon
Lightning, Electrode
Fire, Braixen
Fighting, Omanyte
Colorless, Snubbull
Water, Poliwrath
Grass, Dustox
Water, Panpour
Psychic, Wynaut
Fighting, Anorith
Grass, Pineco
Grass, Shedinja
Water, Cubchoo
Psychic, Unown [I]
Fighting, Gliscor
Psychic, Guzzlord
Grass, Tropius
Colorless, Dratini
Water, Frogadier
Water, Cubchoo
Grass, Heracross
Lightning, Elekid
Colorless, Farfetch'd
Water, Articuno
Lightning, Emolga
Grass, Meganium
Grass, Seedot
Grass, Kricketune
Psychic, Scrafty
Fighting, Bisharp
Lightning, Chinchou
Psychic, Unown Y
Psychic, Woobat
Water, Articuno
Grass, Lilligant
Water, Pelipper
Psychic, Slowking
Psychic, Meditite
Psychic, Swoobat
Psychic, Whirlipede
Psychic, Hypno
Lightning, Voltorb
Psychic, Espeon 4
Colorless, Togetic
Fire, Typhlosion
Lightning, Electrode
Psychic, M Gallade-EX
Fighting, Gliscor
Lightning, Pikachu
Colorless, Granbull
Fire, Growlithe
Fighting, Binacle
Colorless, Furfrou
Psychic, Absol
Colorless, Togetic
Colorless, Furfrou
Psychic, Scolipede
Water, Relicanth
Colorless, Aerodactyl
Water, Blastoise
Colorless, Patrat
Lightning, Lanturn
Psychic, Absol G
Fighting, Aggron
Colorless, Togekiss
Psychic, Sigilyph
Psychic, Gothorita
Colorless, Garchomp
Grass, Bayleef
Psychic, Sigilyph
Grass, Jumpluff
Fighting, Machamp
Fire, Victini-EX
Psychic, Ekans
Psychic, Haunter
Fire, Blaziken
Water, Dratini
Psychic, Gothita
Psychic, Gothita
Grass, Cradily
Water, Salamence
Grass, Ivysaur
Colorless, Garchomp C
Colorless, Rayquaza C
Colorless, Delcatty
Water, Rayquaza-EX
Fire, Ponyta
Psychic, Gardevoir
Water, Kyogre
Lightning, Lanturn
Psychic, Gengar
Psychic, Giratina
Fighting, Kabutops
Water, Reshiram
Water, Horsea
Psychic, Jynx
Colorless, Whimsicott
Colorless, Swellow
Fighting, Machamp
Psychic, Mew
Grass, Skiploom
Fire, Charmeleon
Grass, Tangela
Colorless, Meowth
Fighting, Boldore
Grass, Muk
Grass, Sunflora
Colorless, Rayquaza
Grass, Treecko
Colorless, Unfezant
Colorless, Fletchling
Fighting, Gigalith
Psychic, Shiftry
Psychic, M Gallade-EX
Fire, Heatmor
Fighting, Excadrill
Grass, Pinsir
Fire, Chimchar
Fighting, Nidoking
Lightning, Lanturn
Grass, Victreebel
Water, Latios-EX
Water, Wooper
Water, Hydreigon-EX
Lightning, Mareep
Fire, Chandelure
Water, Wailord
Water, Palpitoad
Colorless, Gible
Water, Gyarados
Fighting, Aggron
Grass, Cherubi
Fighting, Excadrill
Grass, Parasect
Psychic, Drowzee
Psychic, Absol
Fighting, Lucario
Water, Manaphy
Fire, Blaziken
Water, Alomomola
Fighting, Krookodile
Grass, Jumpluff
Colorless, Delcatty
Fighting, Magneton
Lightning, Emolga
Fighting, Terrakion
Grass, Kakuna
Grass, Treecko
Psychic, Nidoran♂
Grass, Dustox
Psychic, Purrloin
Lightning, Thundurus-EX
Water, Wailord
Water, Deino
Water, Gorebyss
Fighting, Riolu
Lightning, Pikachu
Colorless, Rufflet
Psychic, Zorua
Water, Sharpedo
Water, Huntail
Fighting, Onix
Colorless, Staravia
Colorless, Bidoof
Fire, Magmar
Water, Swampert
Lightning, Lanturn
Colorless, Buneary
Grass, Cherubi
Psychic, Wobbuffet
Water, Suicune
Grass, Weezing
Psychic, Zoroark
Psychic, Sandile
Psychic, Vullaby
Psychic, Umbreon
Fire, Chimchar
Water, Rayquaza
Psychic, Lunatone
Fire, Combusken
Grass, Turtwig
Grass, Serperior
Colorless, Delcatty
Fighting, Ferroseed
Lightning, Flaaffy
Lightning, Flaaffy
Grass, Grovyle
Psychic, Zweilous
Fighting, Ferrothorn
Psychic, Hydreigon
Lightning, Manectric
Water, Marshtomp
Psychic, Dusclops
Lightning, Elekid
Lightning, Pikachu
Fighting, Klang
Colorless, Swirlix
Fire, Magmar
Psychic, Giratina
Water, Mantyke
Fire, Rapidash
Fighting, Klinklang
Psychic, Unown A
Psychic, Unown B
Fire, Magcargo
Fighting, Cobalion-EX
Grass, Combee
Lightning, Magneton
Psychic, Mightyena
Psychic, Unown D
Grass, Cherubi
Colorless, Pidove
Colorless, Tranquill
Water, Omastar
Colorless, Skitty
Lightning, Manectric
Fire, Torkoal
Grass, Skiploom
Psychic, Unown S
Water, Palkia G
Water, Poliwhirl
Fighting, Anorith
Psychic, Unown [K]
Colorless, Slakoth
Colorless, Vigoroth
Grass, Shaymin
Water, Wailmer
Fighting, Aron
Lightning, Electrike
Grass, Cascoon
Colorless, Cinccino
Lightning, Electrike
Colorless, Altaria
Grass, Koffing
Colorless, Rufflet
Water, Slowpoke
Fire, Ninetales
Grass, Venusaur
Psychic, Haunter
Colorless, Kecleon
Fighting, Lairon
Water, Mudkip
Lightning, Thundurus
Water, Mudkip
Psychic, Poochyena
Lightning, Ampharos
Psychic, Smoochum
Fighting, Tyrogue
Grass, Treecko
Psychic, Misdreavus
Grass, Hoppip
Colorless, Tornadus
Grass, Roselia
Psychic, Banette
Lightning, Chinchou
Colorless, Minccino
Grass, Beautifly
