type,cost,name,text,damage
Water,"['Water', 'Colorless']","Aurora Beam","","20"
Water,"['Colorless', 'Colorless']","Blot","Remove 2 damage counters from Lombre.","20"
Water,"['Water']","Energy Flip","Choose 1 of your opponent's Benched Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) You may move an Energy attached to that Pok\u00e9mon to another of your opponent's Pok\u00e9mon.",""
Water,"['Psychic']","Psychic Boom","Does 10 damage plus 10 more damage for each Energy attached to the Defending Pok\u00e9mon.","10+"
Water,"['Water', 'Colorless']","Send Back","Your opponent switches the Defending Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.","40"
Water,"['Colorless']","Corkscrew Punch","","10"
Water,"['Colorless', 'Colorless', 'Colorless']","Guillotine","","30"
Water,"['Colorless']","Supersonic","Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.",""
Water,"['Water']","Waterfall","","10"
Water,"['Water', 'Water', 'Colorless', 'Colorless']","Strongarm Impact","You may do 30 more damage. If you do, discard the top 3 cards of each player's deck.","130+"
Water,"['Water', 'Water', 'Colorless']","Wreck","If there is any Stadium card in play, this attack does 70 damage plus 20 more damage. Discard that Stadium card.","70+"
Water,"['Water']","Tail Snap","","20"
Water,"['Water', 'Water', 'Water']","Knockout Needle","Flip 2 coins. If both of them are heads, this attack does 30 damage plus 60 more damage. If 1 or both of them are tails, this attack does 30 damage.","30+"
Water,"['Water']","Collect","Draw 3 cards.",""
Water,"['Metal']","Energy Loop","Return an Energy card attached to Starmie to your hand.","30"
Water,"['Colorless', 'Colorless']","Rapid Spin","Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon. Then, your opponent switches his or her Active Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.","30"
Water,"['Water', 'Water', 'Water']","Splash Bomb","Flip a coin. If tails, this Pok\u00e9mon does 30 damage to itself.","120"
Water,"['Water', 'Colorless']","Wash Over","Does 10 damage to 2 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","20"
Water,"['Water']","Aqua Shower","Does 10 damage to each of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Water', 'Water']","Brine","Choose 1 of your opponent's Pok\u00e9mon that has any damage counters on it. This attack does 40 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Water']","Bubble","Flip a coin. If heads, your opponent's Active Pok\u00e9mon is now Paralyzed.",""
Water,"['Colorless', 'Colorless']","Flail","Does 10 damage times the number of damage counters on Seaking.","10\u00d7"
Water,"['Water', 'Water']","Horn Drill","","50"
Water,"['Water', 'Colorless']","Swift","This attack's damage isn't affected by Weakness, Resistance, Pok\u00e9mon Powers, or any other effects on the Defending Pok\u00e9mon.","20"
Water,"['Water', 'Colorless']","Wave Splash","","30"
Water,"['Water', 'Colorless', 'Colorless']","Big Bite","The Defending Pok\u00e9mon can't retreat during your opponent's next turn.","50"
Water,"['Colorless']","Full-Belly Refresh","Remove all Special Conditions and 3 damage counters from Slowbro.",""
Water,"['Psychic', 'Colorless', 'Colorless']","Startling Trip","Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused. If tails, Slowbro is now Confused.","50"
Water,"['Water']","Splash About","If Buizel has less Energy attached to it than the Defending Pok\u00e9mon, this attack does 10 damage plus 10 more damage.","10+"
Water,"['Colorless']","Spiral Drain","Remove 2 damage counters from Vaporeon.","20"
Water,"['Water', 'Water', 'Colorless']","Dual Splash","Choose 2 of your opponent's Pok\u00e9mon. This attack does 30 damage to each of them. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Fighting']","Dig Under","Choose 1 of your opponent's Pok\u00e9mon. This attack does 10 damage to that Pok\u00e9mon. This attack's damage isn't affected by Weakness or Resistance.",""
Water,"['Colorless', 'Colorless']","Scratch","","20"
Water,"['Colorless']","Surprise Attack","Flip a coin. If tails, this attack does nothing.","20"
Water,"['Water']","Recover","Discard a Water Energy card attached to Staryu and remove 4 damage counters from Staryu (all if there are less than 4).",""
Water,"['Water', 'Colorless']","Aurora Beam","","20"
Water,"['Lightning', 'Colorless', 'Colorless']","Hyper Beam","Flip a coin. If heads, discard an Energy attached to the Defending Pok\u00e9mon.","50"
Water,"['Grass', 'Colorless', 'Colorless', 'Colorless']","Hurricane Tail","Flip 4 coins. This attack does 60 damage times the number of heads.","60\u00d7"
Water,"['Colorless']","Horn Attack","","10"
Water,"['Water', 'Colorless']","Take Down","Goldeen does 10 damage to itself.","30"
Water,"['Water', 'Colorless']","Sky Blade","If Latias is on your Bench, this attack does 20 more damage.","20+"
Water,"['Psychic', 'Colorless', 'Colorless']","Speed Wing","","60"
Water,"['Fighting']","Signs of Evolution","Flip a coin. If heads, search your deck for Fraxure, reveal it, and put it into your hand. Shuffle your deck afterward.",""
Water,"['Metal']","Scratch","","10"
Water,"['Colorless', 'Colorless']","Axe Slugger","If the Defending Pok\u00e9mon is a Colorless Pok\u00e9mon, this attack does 60 more damage.","60+"
Water,"['Fighting', 'Metal', 'Colorless', 'Colorless']","Dragon Pulse","Discard the top card of your deck.","100"
Water,"['Colorless', 'Colorless', 'Colorless']","Dragon Claw","","60"
Water,"['Water', 'Psychic', 'Colorless', 'Colorless']","Blizzard","Does 10 damage to each of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","90"
Water,"['Water', 'Water', 'Water']","Hydro Impact","Choose 1 of your opponent's Pok\u00e9mon. This attack does 80 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.) Empoleon can't attack during your next turn.",""
Water,"['Water', 'Colorless']","Emperor's Command","This attack does 30 damage times the number of Pok\u00e9mon your opponent has in play.","30\u00d7"
Water,"['Water', 'Colorless']","Splatter","This attack does 20 damage to 1 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Water', 'Colorless', 'Colorless']","Hail Storm","If your opponent's Active Pok\u00e9mon is a Team Magma Pok\u00e9mon, this attack does 60 more damage.","60\uff0b"
Water,"['Water', 'Water', 'Water', 'Colorless']","Aqua Impact","This attack does 20 more damage for each Colorless in your opponent's Active Pok\u00e9mon's Retreat Cost.","80\uff0b"
Water,"['Colorless']","Whimsy Tackle","Flip a coin. If tails, this attack does nothing.","20"
Water,"['Water', 'Colorless']","Ice Blade","Choose 1 of your opponent's Pok\u00e9mon. This attack does 40 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Water', 'Water', 'Colorless']","Aqua Jet","Flip a coin. If heads, this attack does 20 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","70"
Water,"['Water', 'Colorless', 'Colorless']","Aqua Tail","Flip a coin for each Water Energy attached to Totodile. This attack does 30 damage plus 20 more damage for each heads.","30+"
Water,"['Water']","Dragon Crush","Flip a coin. If heads, this attack does 10 damage to each Defending Pok\u00e9mon. Discard an Energy card from each Defending Pok\u00e9mon.",""
Water,"['Water', 'Colorless', 'Colorless', 'Colorless', 'Colorless']","Aqua Sonic","This attack's damage is not affected by Resistance.","80"
Water,"['Water']","Float On","Flip a coin. If tails, this Pok\u00e9mon does 10 damage to itself.","10"
Water,"['Water', 'Colorless']","Surf","","30"
Water,"['Fighting', 'Colorless', 'Colorless', 'Colorless']","Magnitude","Does 10 damage to each Benched Pok\u00e9mon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","60"
Water,"['Colorless']","Standing By","Discard an Energy card attached to Octillery. During your next turn, Octillery's Pulse Blast attack's base damage is 120.",""
Water,"['Water', 'Colorless']","Pulse Blast","","30"
Water,"['Water']","Water Gun","Does 10 damage plus 10 more damage for each Water Energy attached to Mudkip but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.","10+"
Water,"['Colorless']","Cry for Help","Search your deck for a Water or Fighting Pok\u00e9mon (excluding Pok\u00e9mon-ex), show it to your opponent, and put it into your hand. Shuffle your deck afterward.",""
Water,"['Water']","Double Attack","Choose 2 of your opponent's Benched Pok\u00e9mon. This attack does 10 damage to each of them. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Colorless']","Tackle","","10"
Water,"['Colorless', 'Colorless']","Blot","Remove 1 damage counter from Lotad.","20"
Water,"['Colorless', 'Colorless']","Delta Copy","Choose an attack on 1 of your opponent's Pok\u00e9mon in play that has \u03b4 on its card. Delta Copy copies that attack except for its Energy cost. (You must still do anything else required for that attack.) Togetic performs that attack.",""
Water,"['Water', 'Colorless']","Wave Splash","","30"
Water,"['Water']","Genetic Memory","Use any attack from Kingdra ex's Basic Pok\u00e9mon card or Stage 1 Evolution card. (Kingdra ex doesn't have to pay for that attack's Energy cost.)",""
Water,"['Colorless', 'Colorless', 'Colorless']","Hydrocannon","Does 50 damage plus 20 more damage for each Water Energy attached to Kingdra ex but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.","50+"
Water,"['Water', 'Colorless']","Knock Over","You may discard any Stadium card in play.","50"
Water,"['Water', 'Water', 'Colorless', 'Colorless']","Frozen Splash","If your opponent's Active Pok\u00e9mon is a Fighting Pok\u00e9mon, this attack does 70 more damage.","70+"
Water,"['Water', 'Water', 'Water']","Hydro Bombard","This attack does 30 damage to 2 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","120"
Water,"['Water', 'Colorless']","Upward Lick","Choose 1 of your opponent's Pok\u00e9mon. This attack does 30 damage to that Pok\u00e9mon. If that Pok\u00e9mon is a Stage 2 Evolved Pok\u00e9mon, this attack does 50 damage instead. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Colorless', 'Colorless', 'Colorless']","Punch and Run","Switch Politoed ex with 1 of your Benched Pok\u00e9mon.","40"
Water,"['Water', 'Water', 'Colorless', 'Colorless']","Swallow Up","Before doing damage, count the remaining HP of the Defending Pok\u00e9mon and Politoed ex. If the Defending Pok\u00e9mon has fewer remaining HP than Politoed ex's, this attack does 120 damage instead.","70"
Water,"['Water', 'Colorless']","Reckless Charge","This Pok\u00e9mon does 10 damage to itself.","30"
Water,"['Water', 'Water', 'Colorless', 'Colorless']","Mega Tidal Wave","Discard the top 5 cards from your opponent's deck. This attack does 30 damage times the number of Energy cards you discarded to each of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Fighting', 'Fighting', 'Colorless', 'Colorless']","Massive Eruption","Discard the top 5 cards from your deck. This attack does 100 damage times the number of Energy cards you discarded.","100\u00d7"
Water,"['Water']","Mist Slash","This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pok\u00e9mon.","50"
Water,"['Water', 'Colorless', 'Colorless']","Blizzard","Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pok\u00e9mon. If tails, this attack does 10 damage to each of your Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","40"
Water,"['Water', 'Colorless', 'Colorless', 'Colorless']","Hammer In","","60"
Water,"['Colorless']","Deep Sea Swirl","Shuffle your hand into your deck. Then, draw 5 cards.",""
Water,"['Water']","Wave Splash","","20"
Water,"['Water', 'Colorless', 'Colorless']","Aurora Gain","Heal 30 damage from this Pok\u00e9mon.","70"
Water,"['Water', 'Water', 'Colorless', 'Colorless']","Hydro Launcher","Return 2 Water Energy attached to Blastoise to your hand. Choose 1 of your opponent's Pok\u00e9mon. This attack does 100 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Free']","Peck","","10"
Water,"['Water', 'Colorless']","Water Splash","Flip a coin. If heads, this attack does 20 damage plus 10 more damage.","20+"
Water,"['Water', 'Colorless', 'Colorless']","Healing Light","Remove 1 damage counter from each of your Pok\u00e9mon.","60"
Water,"['Water', 'Water', 'Colorless']","Waterfall","","60"
Water,"['Water']","Captivate","Switch 1 of your opponent's Benched Pok\u00e9mon with their Active Pok\u00e9mon.",""
Water,"['Water']","Water Gun","","20"
Water,"['Water']","Water Arrow","Choose 1 of your opponent's Pok\u00e9mon. This attack does 30 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Water', 'Colorless', 'Colorless']","Stream Pump","You may do 50 damage plus 30 more damage. If you do, return an Energy card attached to Kingdra to your hand.","50+"
Water,"['Water', 'Colorless']","Double Bubble","Flip 2 coins. This attack does 10 damage times the number of heads. If either of the coins is heads, the Defending Pok\u00e9mon is now Paralyzed.","10\u00d7"
Water,"['Water']","Wave Splash","","10"
Water,"['Colorless']","Sharp Fin","","10"
Water,"['Water', 'Colorless']","Hypno Splash","The Defending Pok\u00e9mon is now Asleep.","20"
Water,"['Water']","Spike Cannon","Flip 2 coins. This attack does 30 damage for each heads.","30\u00d7"
Water,"['Water', 'Colorless', 'Colorless']","Claw Swipe","","60"
Water,"['Water', 'Water', 'Colorless', 'Colorless']","Dual Stream","You may do 40 damage instead of 80 to the Defending Pok\u00e9mon. If you do, this attack does 40 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","80"
Water,"['Colorless']","Power Blow","This attack does 30 damage times the amount of Energy attached to this Pok\u00e9mon.","30\u00d7"
Water,"['Water', 'Water', 'Water', 'Colorless']","Dual Blizzard","Discard 2 Water Energy attached to this Pok\u00e9mon. This attack does 80 damage to 2 of your opponent's Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Fighting', 'Colorless']","Dual Chop","Flip 2 coins. This attack does 30 damage times the number of heads.","30\u00d7"
Water,"['Water', 'Fighting', 'Colorless']","Power Blast","Discard an Energy attached to this Pok\u00e9mon.","120"
Water,"['Grass', 'Lightning']","Wrap","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.","20"
Water,"['Colorless']","Tackle","","10"
Water,"['Water']","Mind Bend","Your opponent's Active Pok\u00e9mon is now Confused.","20"
Water,"['Water', 'Colorless']","Follow the Wound","This attack does 60 damage to 1 of your opponent's Benched Pok\u00e9mon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Metal', 'Colorless']","Scratch","","20"
Water,"['Fighting', 'Colorless', 'Colorless']","Sharp Fang","","40"
Water,"['Water']","Scald","The Defending Pok\u00e9mon is now Burned.","20"
Water,"['Colorless', 'Colorless', 'Colorless']","Fury Swipes","Flip 3 coins. This attack does 40 damage times the number of heads.","40\u00d7"
Water,"['Water', 'Water']","Crunch","Flip a coin. If heads, discard an Energy attached to the Defending Pok\u00e9mon.","30"
Water,"['Water']","Gentle Wrap","The Defending Pok\u00e9mon can't retreat during your opponent's next turn.","30"
Water,"['Water', 'Colorless', 'Colorless']","Reflect Energy","Move 1 basic Energy card attached to Milotic ex to 1 of your Benched Pok\u00e9mon.","70"
Water,"['Water', 'Colorless']","Spring Tides","Flip a coin until you get tails. This attack does 30 damage times the number of heads.","30\u00d7"
Water,"['Water', 'Water', 'Water', 'Colorless']","Ocean Cyclone","This attack does 10 damage to each of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","80"
Water,"['Water']","Poison Claws","Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned.","10"
Water,"['Colorless', 'Colorless', 'Colorless']","Rend","If the Defending Pok\u00e9mon has any damage counters on it, this attack does 30 damage plus 30 more damage.","30+"
Water,"['Water', 'Colorless']","Water Punch","Flip a coin for each Water Energy attached to Azumarill. This attack does 20 damage plus 20 more damage for each heads.","20+"
Water,"['Water']","Water Arrow","Choose 1 of your opponent's Pok\u00e9mon. This attack does 20 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Water', 'Colorless', 'Colorless']","Surf","","50"
Water,"['Water']","Muddy Water","Does 10 damage to 1 of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","10"
Water,"['Water', 'Water', 'Water']","Sacred Sword","This Pok\u00e9mon can't use Sacred Sword during your next turn.","100"
Water,"['Colorless', 'Colorless']","Wreck","If there is any Stadium card in play, this attack does 20 damage plus 50 more damage. Discard that Stadium card.","20+"
Water,"['Water', 'Water', 'Colorless']","Avalanche","Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)","50"
Water,"['Water', 'Colorless']","Sharp Fang","","30"
Water,"['Water', 'Colorless', 'Colorless']","Dark Streak","Flip a coin. If heads, each Defending Pok\u00e9mon is now Paralyzed.","40"
Water,"['Colorless']","Retaliate","Flip a coin. If heads, this attack does 10 damage times the number of damage counters on Horsea.","10\u00d7"
Water,"['Water']","Smokescreen","If the Defending Pok\u00e9mon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.","10"
Water,"['Water']","Whirlpool","Flip a coin. If heads, discard an Energy attached to the Defending Pok\u00e9mon.",""
Water,"['Water', 'Water']","Super Fast","If you have Pachirisu in play, flip a coin. If heads, prevent all effects of an attack, including damage, done to Buizel during your opponent's next turn.","30"
Water,"['Colorless', 'Colorless']","Agility","Flip a coin. If heads, prevent all effects of an attack, including damage, done to Seadra during your opponent's next turn.","20"
Water,"['Water', 'Colorless', 'Colorless']","Waterfall","","40"
Water,"['Water', 'Colorless']","Ice Barrier","Prevent all effects of an attack, including damage, done to Latios ex by your opponent's Pok\u00e9mon-ex during your opponent's next turn.","30"
Water,"['Water', 'Colorless', 'Colorless']","Hydro Splash","","60"
Water,"['Colorless']","Mimicry","Choose an attack on 1 of your opponent's Pok\u00e9mon in play. Mimicry copies that attack. This attack does nothing if Mew Star doesn't have the Energy necessary to use that attack. (You must still do anything else required for that attack.) Mew Star performs that attack.",""
Water,"['Water']","Rainbow Wave","Choose 1 basic Energy card attached to Mew Star. This attack does 20 damage to each of your opponent's Pok\u00e9mon that is the same type as the basic Energy card that you chose. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Water']","Powder Snow","The Defending Pok\u00e9mon is now Asleep.","10"
Water,"['Colorless']","Poison Claws","Flip a coin. If heads, the Defending Pok\u00e9mon is now Poisoned.",""
Water,"['Water']","Bubble","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.","10"
Water,"['Colorless', 'Colorless']","Tail Whap","","20"
Water,"['Grass', 'Lightning', 'Colorless']","Dragon Pulse","Discard the top card of your deck.","70"
Water,"['Colorless']","Paralyzing Gaze","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.",""
Water,"['Colorless', 'Colorless']","Wave Splash","","20"
Water,"['Colorless']","Splash","","10"
Water,"['Fighting', 'Colorless']","Mud Slap","","20"
Water,"['Colorless']","Knock Away","Flip a coin. If heads, this attack does 20 more damage.","10+"
Water,"['Fire', 'Water', 'Colorless']","Rollout","","50"
Water,"['Water', 'Fighting', 'Fighting', 'Colorless']","Crimson Edge","This Pok\u00e9mon does 10 damage to itself for each damage counter on it.","180"
Water,"['Colorless']","Call for Family","Search your deck for Magikarp and put as many of them as you like onto your Bench. Shuffle your deck afterward.",""
Water,"['Water', 'Colorless']","Tackle","","20"
Water,"['Colorless', 'Colorless']","Split Spiral Punch","The Defending Pok\u00e9mon is now Confused.","20"
Water,"['Water', 'Colorless', 'Colorless']","Mega Throw","If the Defending Pok\u00e9mon is Pok\u00e9mon-ex, this attack does 50 damage plus 30 more damage.","50+"
Water,"['Water']","Sleepy Ball","Flip a coin. If heads, the Defending Pok\u00e9mon is now Asleep.","10"
Water,"['Water']","Horn Hazard","Flip a coin. If tails, this attack does nothing.","30"
Water,"['Colorless', 'Colorless']","Time Spiral","Choose 1 of your opponent's Evolved Pok\u00e9mon. Remove the highest Stage Evolution card from that Pok\u00e9mon and have your opponent shuffle that card into his or her deck.",""
Water,"['Water', 'Colorless']","Primal Tentacles","Does 30 damage plus 10 more damage for each Helix Fossil, Dome Fossil, and Old Amber in your discard pile.","30+"
Water,"['Water', 'Colorless', 'Colorless']","Guillotine","","50"
Water,"['Water']","Firefighting","Discard a Fire Energy attached to the Defending Pok\u00e9mon.",""
Water,"['Water']","Hypnoblast","The Defending Pok\u00e9mon is now Asleep.","20"
Water,"['Colorless', 'Colorless']","Light Punch","","30"
Water,"['Colorless']","Amnesia","Choose 1 of the Defending Pok\u00e9mon's attacks. That Pok\u00e9mon can't use that attack during your opponent's next turn.","20"
Water,"['Water', 'Water']","Aquafall","Discard all Energy attached to this Pok\u00e9mon.","90"
Water,"['Colorless', 'Colorless']","Rapid Spin","Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon. Then, your opponent switches his or her Active Pok\u00e9mon with 1 of his or her Benched Pok\u00e9mon.","30"
Water,"['Water', 'Water', 'Water']","Splash Bomb","Flip a coin. If tails, this Pok\u00e9mon does 30 damage to itself.","120"
Water,"['Colorless', 'Colorless']","Quick Attack","Flip a coin. If heads, this attack does 10 damage plus 30 more damage.","10+"
Water,"['Water']","Soggy Rush","Flip a coin until you get tails. This attack does 10 damage times the number of heads.","10\u00d7"
Water,"['Water', 'Colorless', 'Colorless']","Sharp Fang","","60"
Water,"['Water', 'Colorless', 'Colorless', 'Colorless']","Swing Around","Flip 2 coins. This attack does 30 more damage for each heads.","60+"
Water,"['Water']","Rain Splash","","10"
Water,"['Water', 'Colorless']","Seashell Attack","","20"
Water,"['Water', 'Colorless', 'Colorless']","Wave Splash","","40"
Water,"['Water']","Water Cannon","Flip a coin. If heads, this attack does 30 damage times the amount of Water Energy attached to this Pok\u00e9mon.","30\u00d7"
Water,"['Water', 'Colorless', 'Colorless', 'Colorless']","Giant Wave","This Pok\u00e9mon can't use Giant Wave during your next turn.","80"
Water,"['Water']","Clear Search","Search your deck for any 3 cards and put them into your hand. Shuffle your deck afterward.",""
Water,"['Water', 'Colorless', 'Colorless']","Water Pulse","The Defending Pok\u00e9mon is now Asleep.","60"
Water,"['Colorless']","Salt Water","Search your deck for up to 2 Water Energy cards and attach them to Kingler. Shuffle your deck afterward.",""
Water,"['Water', 'Colorless']","Hyper Pump","Does 30 damage plus 20 more damage for each basic Energy attached to Kingler but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.","30+"
Water,"['Water', 'Colorless']","Ice Edge","Flip a coin. If heads, this attack does 20 more damage.","20+"
Water,"['Water', 'Colorless']","Unstoppable Roll","Flip 2 coins. If both of them are heads, this attack does 30 more damage.","10+"
Water,"['Colorless']","Flailing Flop","Flip a coin. If tails, this Pok\u00e9mon does 10 damage to itself.","10"
Water,"['Colorless']","Wave Splash","","20"
Water,"['Water', 'Water']","Waterfall","","60"
Water,"['Colorless']","Pull Out","Put a card from your discard pile on top of your deck.",""
Water,"['Water']","Aqua Boomerang","Return this Pok\u00e9mon and all cards attached to it to your hand.","20"
Water,"['Water', 'Colorless', 'Colorless']","Eerie Light","Flip a coin. If heads, the Defending Pok\u00e9mon is now Confused.","40"
Water,"['Water', 'Colorless']","Razor Shell","Flip a coin. If heads, this attack does 20 more damage.","20+"
Water,"['Colorless', 'Colorless', 'Colorless']","Hydro Pump","Does 10 more damage for each Water Energy attached to this Pok\u00e9mon.","70+"
Water,"['Water']","Bubble","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed.","10"
Water,"['Water']","Energy Cannon","Does 20 damage plus 10 more damage for each Energy attached to Seadra but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.","20+"
Water,"['Water', 'Colorless', 'Colorless']","Water Arrow","Choose 1 of your opponent's Pok\u00e9mon. This attack does 30 damage to that Pok\u00e9mon. (Don't apply Weakness and Resistance for Benched Pok\u00e9mon.)",""
Water,"['Colorless']","Call for Family","Search your deck for a Basic Pok\u00e9mon and put it onto your Bench. Shuffle your deck afterward.",""
Water,"['Water', 'Colorless']","Razor Fin","","20"
Water,"['Water', 'Water']","Freezing Breath","Flip a coin. If heads, the Defending Pok\u00e9mon is now Paralyzed. If tails, the Defending Pok\u00e9mon is now Asleep.","10"
Water,"['Water', 'Water', 'Water']","Ice Pillar","Until the end of your opponent's next turn, as long as Light Dewgong is your Active Pok\u00e9mon, prevent all damage done by attacks to your Benched Pok\u00e9mon. (Any other effects of attacks still happen.)","40"
Water,"['Colorless']","Supersonic","The Defending Pok\u00e9mon is now Confused.",""
Water,"['Water', 'Colorless', 'Colorless']","Hyper Voice","","50"
Water,"['Water', 'Water']","Ice Ball","","20"
Water,"['Colorless']","Collect","Draw a card.",""
Water,"['Water']","Snowball","Flip a coin. If tails, this attack does nothing.","20"
